"Name","Section","Type","Title","Note","Day Of Week","First Date","Last Date","Published Start","Published End","Location","Capacity","Instructor / Organization","Email","Additional Considerations","Approved",
"ECE 20001","20739-002","Lecture","Electrical Engr Fundamentals I","Evening Exams Required. Supplemental Instruction (SI) study sessions are available for students in this course.","MW","08/24/2026","09/02/2026","12:30p","1:20p","BHEE 129","468","Diaz Rivas, Rosa E (Instr)","rdiazri@purdue.edu",,"01/30/2026",
"ECE 20001","20739-002","Lecture","Electrical Engr Fundamentals I","Evening Exams Required. Supplemental Instruction (SI) study sessions are available for students in this course.","MW","09/09/2026","10/07/2026","12:30p","1:20p","BHEE 129","468","Diaz Rivas, Rosa E (Instr)","rdiazri@purdue.edu",,"01/30/2026",
"ECE 20001","20739-002","Lecture","Electrical Engr Fundamentals I","Evening Exams Required. Supplemental Instruction (SI) study sessions are available for students in this course.","MW","10/14/2026","11/23/2026","12:30p","1:20p","BHEE 129","468","Diaz Rivas, Rosa E (Instr)","rdiazri@purdue.edu",,"01/30/2026",
"ECE 20001","20739-002","Lecture","Electrical Engr Fundamentals I","Evening Exams Required. Supplemental Instruction (SI) study sessions are available for students in this course.","MW","11/30/2026","12/09/2026","12:30p","1:20p","BHEE 129","468","Diaz Rivas, Rosa E (Instr)","rdiazri@purdue.edu",,"01/30/2026",
"ECE 20875","23070-002","Lecture","Data Science Using Python","Evening Exams Required.","MWF","08/24/2026","09/04/2026","3:30p","4:20p","FRNY G140","234","Qiu, Qiang (Instr)","qqiu@purdue.edu",,"01/30/2026",
"ECE 20875","23070-002","Lecture","Data Science Using Python","Evening Exams Required.","MWF","09/09/2026","10/09/2026","3:30p","4:20p","FRNY G140","234","Qiu, Qiang (Instr)","qqiu@purdue.edu",,"01/30/2026",
"ECE 20875","23070-002","Lecture","Data Science Using Python","Evening Exams Required.","MWF","10/14/2026","11/23/2026","3:30p","4:20p","FRNY G140","234","Qiu, Qiang (Instr)","qqiu@purdue.edu",,"01/30/2026",
"ECE 20875","23070-002","Lecture","Data Science Using Python","Evening Exams Required.","MWF","11/30/2026","12/11/2026","3:30p","4:20p","FRNY G140","234","Qiu, Qiang (Instr)","qqiu@purdue.edu",,"01/30/2026",
"ECE 29401","20774-001","Lecture","ECE Sophomore Seminar ",,,,,,,,,"Rainwater, Angela Sue Jones (Instr)","asrainwater@purdue.edu",,"not approved",
"ECE 29401","20774-001","Lecture","ECE Sophomore Seminar ",,"F","08/28/2026","10/16/2026","1:30p","2:20p","WALC 1018","180","Rainwater, Angela Sue Jones (Instr)","asrainwater@purdue.edu",,"01/30/2026",
"MA 26100","57158-400","Lecture","Multivariate Calculus","Evening Exams Required. Supplemental Instruction study sessions will be offered for this course.  ","MWF","08/24/2026","09/04/2026","2:30p","3:20p","BHEE 129","468","Weng, Shuyi (Instr)","weng83@purdue.edu",,"01/30/2026",
"MA 26100","57158-400","Lecture","Multivariate Calculus","Evening Exams Required. Supplemental Instruction study sessions will be offered for this course.  ","MWF","09/09/2026","10/09/2026","2:30p","3:20p","BHEE 129","468","Weng, Shuyi (Instr)","weng83@purdue.edu",,"01/30/2026",
"MA 26100","57158-400","Lecture","Multivariate Calculus","Evening Exams Required. Supplemental Instruction study sessions will be offered for this course.  ","MWF","10/14/2026","11/23/2026","2:30p","3:20p","BHEE 129","468","Weng, Shuyi (Instr)","weng83@purdue.edu",,"01/30/2026",
"MA 26100","57158-400","Lecture","Multivariate Calculus","Evening Exams Required. Supplemental Instruction study sessions will be offered for this course.  ","MWF","11/30/2026","12/11/2026","2:30p","3:20p","BHEE 129","468","Weng, Shuyi (Instr)","weng83@purdue.edu",,"01/30/2026",
"VIP 27920","17645-PDL*","Lecture","Soph Part In VIP","Professional Development: PD for SoCET",,,,,,,,"Lynch, Cyndi D (Instr)
Zoltowski, Carla B (Instr)","clynch@purdue.edu
cbz@purdue.edu",,"not approved",
"ECE 20001","19874-035","Recitation","Electrical Engr Fundamentals I","Evening Exams Required. Supplemental Instruction (SI) study sessions are available for students in this course.","Th","08/27/2026","11/19/2026","2:30p","3:20p","PHYS 238","52","Upadhyaya, Pramey (Instr)","prameyup@purdue.edu",,"01/30/2026",
"ECE 20001","19874-035","Recitation","Electrical Engr Fundamentals I","Evening Exams Required. Supplemental Instruction (SI) study sessions are available for students in this course.","Th","12/03/2026","12/10/2026","2:30p","3:20p","PHYS 238","52","Upadhyaya, Pramey (Instr)","prameyup@purdue.edu",,"01/30/2026",
"MA 26100","21382-433","Recitation","Multivariate Calculus","Evening Exams Required. Supplemental Instruction study sessions will be offered for this course.  ","T","08/25/2026","10/06/2026","1:30p","2:20p","BRNG B222","49","Agrinsoni Santiago, Carlos Alberto (Instr)","cagrinso@purdue.edu",,"02/18/2026",
"MA 26100","21382-433","Recitation","Multivariate Calculus","Evening Exams Required. Supplemental Instruction study sessions will be offered for this course.  ","T","10/20/2026","12/08/2026","1:30p","2:20p","BRNG B222","49","Agrinsoni Santiago, Carlos Alberto (Instr)","cagrinso@purdue.edu",,"02/18/2026",
"ECE 20007","21153-027","Laboratory","Elec Engr Fundamentals I Lab",,"T","08/25/2026","10/06/2026","3:30p","5:20p","BHEE 166","50","Alukkal, Carl Robanto (Instr)","crobanto@purdue.edu",,"02/18/2026",
"ECE 20007","21153-027","Laboratory","Elec Engr Fundamentals I Lab",,"T","10/20/2026","12/08/2026","3:30p","5:20p","BHEE 166","50","Alukkal, Carl Robanto (Instr)","crobanto@purdue.edu",,"02/18/2026",
"VIP 27920","17647-420*","Laboratory","Soph Part In VIP","STARS CDS: Chip Design Skills","Th","08/27/2026","11/19/2026","4:30p","5:20p","WALC 1132","108","Hong, Johnathan (Instr)
Johnson, Mark C (Instr)
Swabey, Matthew A (Instr)","johong@purdue.edu
mcjohnso@purdue.edu
swabey@purdue.edu",,"01/30/2026",
"VIP 27920","17647-420*","Laboratory","Soph Part In VIP","STARS CDS: Chip Design Skills","Th","12/03/2026","12/10/2026","4:30p","5:20p","WALC 1132","108","Hong, Johnathan (Instr)
Johnson, Mark C (Instr)
Swabey, Matthew A (Instr)","johong@purdue.edu
mcjohnso@purdue.edu
swabey@purdue.edu",,"01/30/2026",
"VIP 27920","17647-420*","Laboratory","Soph Part In VIP","STARS CDS: Chip Design Skills","Th","08/27/2026","11/19/2026","5:30p","6:20p","BHEE 129","468","Hong, Johnathan (Instr)
Johnson, Mark C (Instr)
Swabey, Matthew A (Instr)","johong@purdue.edu
mcjohnso@purdue.edu
swabey@purdue.edu",,"01/30/2026",
"VIP 27920","17647-420*","Laboratory","Soph Part In VIP","STARS CDS: Chip Design Skills","Th","12/03/2026","12/10/2026","5:30p","6:20p","BHEE 129","468","Hong, Johnathan (Instr)
Johnson, Mark C (Instr)
Swabey, Matthew A (Instr)","johong@purdue.edu
mcjohnso@purdue.edu
swabey@purdue.edu",,"01/30/2026",
"ECE 20001","Offering","Midterm Examination","Electrical Engr Fundamentals I",,"Th","11/05/2026",,"8:00p","9:00p","WALC 1055 (Hiler Thtr)","329","Mckinney, Jason Dwight","mckinnjd@purdue.edu",,"07/29/2026",
"ECE 20001","Offering","Midterm Examination","Electrical Engr Fundamentals I",,"Th","11/05/2026",,"8:00p","9:00p","WTHR 200","480","Mckinney, Jason Dwight","mckinnjd@purdue.edu",,"07/29/2026",
"ECE 20001","Offering","Midterm Examination","Electrical Engr Fundamentals I",,"Th","11/05/2026",,"8:00p","9:00p","WTHR 320","91","Mckinney, Jason Dwight","mckinnjd@purdue.edu",,"07/29/2026",
"ECE 20001","Offering","Midterm Examination","Electrical Engr Fundamentals I",,"Th","09/24/2026",,"8:00p","9:00p","BHEE 170","170","Mckinney, Jason Dwight","mckinnjd@purdue.edu",,"07/29/2026",
"ECE 20001","Offering","Midterm Examination","Electrical Engr Fundamentals I",,"Th","09/24/2026",,"8:00p","9:00p","LYNN 1136","196","Mckinney, Jason Dwight","mckinnjd@purdue.edu",,"07/29/2026",
"ECE 20001","Offering","Midterm Examination","Electrical Engr Fundamentals I",,"Th","09/24/2026",,"8:00p","9:00p","SMTH 108","205","Mckinney, Jason Dwight","mckinnjd@purdue.edu",,"07/29/2026",
"ECE 20001","Offering","Midterm Examination","Electrical Engr Fundamentals I",,"Th","09/24/2026",,"8:00p","9:00p","WALC 1055 (Hiler Thtr)","329","Mckinney, Jason Dwight","mckinnjd@purdue.edu",,"07/29/2026",
"ECE 20875","Offering","Midterm Examination","Data Science Using Python",,"W","10/07/2026",,"6:30p","7:30p","BHEE 129","468","Qiu, Qiang","qqiu@purdue.edu",,"08/06/2026",
"ECE 20875","Offering","Midterm Examination","Data Science Using Python",,"Th","11/12/2026",,"8:00p","9:00p","FRNY G140","234","Qiu, Qiang","qqiu@purdue.edu",,"08/06/2026",
